"REF_DATE","GEO","DGUID","Labour force characteristics","Educational attainment","Sex","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-05","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","31.3","","","","1"
"2019-06","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","26.9","","","","1"
"2019-07","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","30.1","","","","1"
"2019-08","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","32.9","","","","1"
"2019-09","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","23.0","","","","1"
"2019-10","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","28.5","","","","1"
"2019-11","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","29.6","","","","1"
"2019-12","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","29.3","","","","1"
"2020-01","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","32.7","","","","1"
"2020-02","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","28.1","","","","1"
"2020-03","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","38.7","","","","1"
"2020-04","Canada","2016A000011124","Unemployment","0 to 8  years","Both sexes","15 years and over","Persons","249","thousands","3","v2627975","1.6.2.1.1","58.0","","","","1"
